mineral,horizon,date,naive,historical_mean,arima,sarima,sarimax,random_forest,xgboost,lightgbm,catboost
Copper,12,2000-10-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2000-11-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2000-12-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-01-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-02-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-03-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-04-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-05-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-06-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-07-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-08-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-09-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-10-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-11-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
Copper,12,2001-12-01,,,,,Pandas data cast to numpy dtype of object. Check input data with np.asarray(data).,,XGBModel.fit() got an unexpected keyword argument 'early_stopping_rounds',,
